"","cc","cth","cth.25","cth.75","ctt","ctt.25","ctt.75","cod","cod.25","cod.75","iwp","iwp.25","iwp.75","lat","lon","tdiff","time.rel","sat"
"1",0.972972972972973,2.29427885979011,0.501832604408264,3.73515391349792,-28.0325139728752,-30.0005130767822,-21.3023447990417,2.9462092048111,1.48531317710876,4.03404521942139,151.746571376062,51.4887962341309,248.741348266602,73.8642196480032,5.79871742001857,-3,-18.3333333333333,"CALIOP"
"2",1,2.28909065645167,0.561708927154541,3.19626712799072,-27.422383121938,-27.7032642364502,-21.2492752075195,2.92688272373137,1.61461293697357,4.07788664102554,144.212463085468,43.6643028259277,240.56330871582,73.5054232379789,6.16839906747586,-2,-17.3333333333333,"CALIOP"
"3",1,1.97354879630048,1.07065767049789,2.95676183700562,-24.2067721064498,-27.7032642364502,-20.6691346168518,2.91745335163503,1.91358208656311,3.67311179637909,149.183111677779,93.5502777099609,209.766662597656,73.1608112972974,6.55328429335314,-1,-16.3333333333333,"CALIOP"
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.8306194049684,6.94909904892595,0,-15.3333333333333,"CALIOP"
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.5123937382068,7.35541648031304,1,-14.3333333333333,"CALIOP"
"6",1,12.1343470310496,3.80999934673309,16.9827899932861,-50.6768697845601,-82.6462326049805,6.43383479118347,0.0788427716320638,0,0.0155512243509293,0.361894963485004,0.000448583654360846,0.113178089261055,71.3294868840539,9.41623005272831,-3,-10.1166666666667,"CALIOP"
"7",1,5.17642228558378,2.38793683052063,4.60336065292358,-3.64038520489098,2.18630933761597,13.3791055679321,0.0775880140161474,0,0,0.113178089261055,0.113178089261055,0.113178089261055,71.0603304192575,10.019224393645,-2,-9.11666666666667,"CALIOP"
"8",1,2.79187846183777,2.38793683052063,3.0166380405426,11.5506226055658,10.681360244751,13.4443893432617,0.119019667440434,0,0,NA,NA,NA,70.8024911242365,10.6389897825569,-1,-8.11666666666667,"CALIOP"
"9",1,5.82993811148184,2.65738022327423,8.89948654174805,-5.94237406209663,-21.3294429779053,12.5555911064148,1.0579265405486,0,0.938634395599365,251.1037804453,233.786071777344,357.440002441406,70.5453849873025,11.2519823254963,0,-7.11666666666667,"CALIOP"
"10",1,7.559553825919,2.80707097053528,11.4142923355103,-17.7291832521638,-41.0159568786621,12.1437005996704,1.55961577151824,0,3.25444507598877,150.953894120891,25.3095741271973,238.536987304688,70.294722143646,11.8509078007337,1,-6.11666666666667,"CALIOP"
"11",1,8.86614173198568,4.99255657196045,12.1328077316284,-25.8404216275133,-47.2584114074707,0.242110818624496,1.43299417891739,0,3.25444507598877,150.953894120891,25.3095741271973,238.536987304688,70.057048576168,12.4396732981396,2,-5.11666666666667,"CALIOP"
"12",1,9.3209598697722,2.80707097053528,13.9889736175537,-31.143688544631,-62.9155616760254,12.1437005996704,0.528879337668031,0,0,78.8622874091653,25.3095741271973,131.655868530273,69.8358320118845,13.0222963666462,3,-4.11666666666667,"CALIOP"
